product_id,product_name,brand,package_quantity,package_unit,product_category,from _date,to_date,percentage_of_discount
P001,lapte zuzu,Zuzu,1,l,lactate,05-08-25,05-14-25,9
P006,ouă mărimea M,Ferma Veche,10,buc,ouă,05-08-25,05-14-25,11
P012,pâine albă,K-Classic,500,g,panificație,05-09-25,05-15-25,7
P022,zahăr tos,Mărgăritar,1,kg,alimente de bază,05-10-25,05-16-25,6
P029,ulei floarea-soarelui,Floriol,1,l,alimente de bază,05-08-25,05-14-25,8
P032,biscuiți cu unt,Milka,0.2,kg,gustări,05-09-25,05-15-25,12
P035,cafea măcinată,Jacobs,0.25,kg,cafea,05-10-25,05-16-25,11
P044,hârtie igienică 3 straturi,Pufina,10,role,produse de menaj,05-08-25,05-14-25,13
P047,piper negru măcinat,Fuchs,50,g,condimente,05-09-25,05-15-25,10
P058,ceapă galbenă,Generic,1,kg,legume și fructe,05-10-25,05-16-25,5
P061,suc portocale,Santorini,1,l,băuturi,05-08-25,05-14-25,9
P063,cașcaval,K-Classic,0.25,kg,lactate,05-09-25,05-15-25,12

